1 R X Red Line,Atr Track Back (After Atr),Atr Track Back (Multiplier),Account Name,Adjusted Cost,Adjusted Proceeds,Avg Buy Price,Avg Sell Price,Exit Efficiency,Best Exit,Best Exit Price,Best Exit Time,Close Date,Close Time,Commission,Duration,Entry Candle Size And Color,Entry Price,Executions,Exit Price,Gold Candle,Gross P&L,Trade Risk,Initial Target,Instrument,Spread Type,"M5, M30, 1 H",Macd Condition,Max Tp (Atr Multiplier),Mistakes,Net P&L,Net ROI,Open Date,Open Time,Pips,Reward Ratio,Playbook,Points,Position MAE,Position MFE,Price MAE,Price MFE,Rsi Position,Realized RR,Return Per Pip,Reviewed,Sl Track Back Behind Redline,Setups,Side,Status,Symbol,Ticks Value,Ticks Per Contract,Fee,Swap,Rating,Type Of Trades,Quantity,Zella Score
win win,0 pips (within atr range),0.5x,Backtesting,87916.99,87802.192,2313.605,2310.584,0.13,87916.99,0.0,1970-01-01 00:00:00 UTC,2024-06-12,21:25:56 EDT,0.0,56.001,"",2313.605,2,2310.584,< 200 breakout,114.798,-116.052,114.798,XAUUSD,forex,"same, diff, diff",after xnx few bars breakout,1.0x,"",114.798,0.00130746,2024-06-12,21:24:59 EDT,302.1,0.9891945,s1 SR Breakout,,-17.86,127.186,2314.075,2310.258,long breakout center crossed down,0.9891945,0.38,false,"","",short,Win,XAUUSD,,,0.0,0.0,,"",0.38,90.25993427
win win,0 pips (within atr range),0.5x,Backtesting,64779.54,64624.056,2313.555,2308.002,,,,,2024-06-13,07:39:42 EDT,0.0,1482.001,"",2313.555,2,2308.002,200 - 300 reverse,155.484,-129.164,155.484,XAUUSD,forex,"same, same, diff",divergence cross m5,2.1x,"",155.484,0.00240598,2024-06-13,07:14:59 EDT,555.3,1.20377195,s1 SR Reverse,,,,,,short reverse overbought crossed down,1.20377195,0.28,false,"","",short,Win,XAUUSD,,,0.0,0.0,,"",0.28,
win lose,0 pips (within atr range),0.5x,Backtesting,41789.61,41715.927,2321.645,2317.5515,,,,,2024-06-17,03:31:59 EDT,0.0,8820.0,"",2321.645,3,2319.208,< 200 breakout,73.683,0.0,154.548,XAUUSD,forex,"same, same, diff",before xnx or cross,2.8x,"",73.683,0.0017663,2024-06-17,01:04:59 EDT,409.35,,s2 SR Breakout + Ichimoku Cloud 2 Reverse,,,,,,short breakout overbought crossed down,,0.18,false,"","",short,Win,XAUUSD,,,0.0,0.0,,"",0.18,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,41614.47,41733.324,2311.915,2318.518,,,,,2024-06-17,14:41:13 EDT,0.0,10873.001,"",2311.915,2,2318.518,< 200 breakout,-118.854,-118.854,154.602,XAUUSD,forex,"same, same, same",fast cross slow m15,-1,"",-118.854,-0.00284794,2024-06-17,11:39:59 EDT,-660.3,1.30077238,s2 Ichimoku Cloud 2 Reverse + MACD Near 0 Line Fast Cross Slow M15,,,,,,short reverse center otw,-1.0,0.18,false,"","",short,Loss,XAUUSD,,,0.0,0.0,,"",0.18,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,41547.87,41640.606,2308.215,2313.367,,,,,2024-06-18,07:51:30 EDT,0.0,4290.001,"",2308.215,2,2313.367,< 200 breakout,-92.736,-92.736,92.646,XAUUSD,forex,"same, same, same",far from zero m15 line,-1,"",-92.736,-0.00222706,2024-06-18,06:39:59 EDT,-515.2,0.9990295,s1 SR Breakout,,,,,,short breakout center before cross down,-1.0,0.18,false,"","",short,Loss,XAUUSD,,,0.0,0.0,,"",0.18,
"","","",Backtesting,41852.79,41926.806,2325.155,2329.267,,,,,2024-06-19,08:52:31 EDT,0.0,751.001,"",2325.155,2,2329.267,"",-74.016,-74.016,334.854,XAUUSD,forex,"","","","",-74.016,-0.00176536,2024-06-19,08:39:59 EDT,-411.2,4.52407588,s1 SR Breakout,,,,,,"",-1.0,0.18,false,"","",short,Loss,XAUUSD,,,0.0,0.0,,"",0.18,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,41947.11,41877.864,2330.395,2326.548,,,,,2024-06-19,08:32:10 EDT,0.0,2290.001,"",2330.395,2,2326.548,200 - 300 reverse,-69.246,-69.246,80.496,XAUUSD,forex,"diff, same, same",before xnx or cross,-1,"",-69.246,-0.00165079,2024-06-19,07:53:59 EDT,-384.7,1.16246426,s1 SR Reverse,,,,,,long reverse center otw,-1.0,0.18,false,"","",long,Loss,XAUUSD,,,0.0,0.0,,"",0.18,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,93343.0,93506.96,2333.575,2337.674,,,,,2024-06-20,00:27:18 EDT,0.0,6138.001,"",2333.575,2,2337.674,< 200 reverse,-163.96,-163.96,165.04,XAUUSD,forex,"diff, diff, diff",after cross few bars reverse,-1,"",-163.96,-0.00175345,2024-06-19,22:44:59 EDT,-409.9,1.00658697,s1 SR Reverse,,,,,,short reverse overbought crossed down,-1.0,0.4,false,"","",short,Loss,XAUUSD,,,0.0,0.0,,"",0.4,
lose lose,-0 pips (trade loss),-1 lost trade,Backtesting,93716.72,93584.24,2342.918,2339.606,,,,,2024-06-20,03:48:32 EDT,0.0,5432.001,"",2342.918,2,2339.606,< 200 breakout,-132.48,-132.48,316.08,XAUUSD,forex,"same, same, same",far from zero m15 line,-1,"",-132.48,-0.00141362,2024-06-20,02:17:59 EDT,-331.2,2.38586957,s1 SR Breakout,,,,,,long breakout overbought crossed down,-1.0,0.4,false,"","",long,Loss,XAUUSD,,,0.0,0.0,,"",0.4,
win win,0 pips (within atr range),0.5x,Backtesting,93499.4,93649.8,2337.485,2341.245,,,,,2024-06-20,01:47:59 EDT,0.0,4740.0,"",2337.485,2,2341.245,< 200 breakout,150.4,0.0,416.76,XAUUSD,forex,"same, same, same",fast cross slow m15,1.6x,"",150.4,0.00160857,2024-06-20,00:28:59 EDT,376.0,,"",,,,,,long breakout center crossed up,,0.4,false,"","",long,Win,XAUUSD,,,0.0,0.0,,"",0.4,
